,Title,Type,Source,Episodes,Status,Started At,Ended At,Duration in Minutes,Rating,Score,Scored By,Score Rank,Popularity Rank,Members,Favorites,Season,Year,Genre,Theme,Demographic
0,Sousou no Frieren,TV,Manga,28.0,Currently Airing,2023-09-29,2024-03-22,24,PG-13 - Teens 13 or older,9.15,189697,1.0,379,566535,20720,fall,2023.0,"['Adventure', 'Drama', 'Fantasy']",[],['Shounen']
1,Fullmetal Alchemist: Brotherhood,TV,Manga,64.0,Finished Airing,2009-04-05,2010-07-04,24,R - 17+ (violence & profanity),9.09,2100761,2.0,3,3312847,224338,spring,2009.0,"['Action', 'Adventure', 'Drama', 'Fantasy']",['Military'],['Shounen']
2,Steins;Gate,TV,Visual novel,24.0,Finished Airing,2011-04-06,2011-09-14,24,PG-13 - Teens 13 or older,9.07,1387448,3.0,13,2540312,188400,spring,2011.0,"['Drama', 'Sci-Fi', 'Suspense']","['Psychological', 'Time Travel']",[]
3,Gintama°,TV,Manga,51.0,Finished Airing,2015-04-08,2016-03-30,24,PG-13 - Teens 13 or older,9.06,248787,4.0,338,624445,16538,spring,2015.0,"['Action', 'Comedy', 'Sci-Fi']","['Gag Humor', 'Historical', 'Parody', 'Samurai']",['Shounen']
4,Shingeki no Kyojin Season 3 Part 2,TV,Manga,10.0,Finished Airing,2019-04-29,2019-07-01,23,R - 17+ (violence & profanity),9.05,1567159,5.0,21,2246431,58151,spring,2019.0,"['Action', 'Drama', 'Suspense']","['Gore', 'Military', 'Survival']",['Shounen']
5,Gintama: The Final,Movie,Manga,1.0,Finished Airing,2021-01-08,,104,PG-13 - Teens 13 or older,9.04,70607,6.0,1540,147274,4260,,,"['Action', 'Comedy', 'Drama', 'Sci-Fi']","['Gag Humor', 'Historical', 'Parody', 'Samurai']",['Shounen']
6,Hunter x Hunter (2011),TV,Manga,148.0,Finished Airing,2011-10-02,2014-09-24,23,PG-13 - Teens 13 or older,9.04,1740589,7.0,9,2797922,208529,fall,2011.0,"['Action', 'Adventure', 'Fantasy']",[],['Shounen']
7,Gintama',TV,Manga,51.0,Finished Airing,2011-04-04,2012-03-26,24,PG-13 - Teens 13 or older,9.03,235444,8.0,395,550850,8099,spring,2011.0,"['Action', 'Comedy', 'Sci-Fi']","['Gag Humor', 'Historical', 'Parody', 'Samurai']",['Shounen']
8,Gintama': Enchousen,TV,Manga,13.0,Finished Airing,2012-10-04,2013-03-28,24,PG-13 - Teens 13 or older,9.02,164033,11.0,736,322534,3055,fall,2012.0,"['Action', 'Comedy', 'Sci-Fi']","['Gag Humor', 'Historical', 'Parody', 'Samurai']",['Shounen']
9,Ginga Eiyuu Densetsu,OVA,Novel,110.0,Finished Airing,1988-01-08,1997-03-17,26,R - 17+ (violence & profanity),9.02,78445,10.0,744,318926,16210,,,"['Drama', 'Sci-Fi']","['Adult Cast', 'Military', 'Space']",[]
10,Kaguya-sama wa Kokurasetai: Ultra Romantic,TV,Manga,13.0,Finished Airing,2022-04-09,2022-06-25,23,PG-13 - Teens 13 or older,9.02,510408,12.0,183,908890,30882,spring,2022.0,"['Comedy', 'Romance']",['School'],['Seinen']
11,Bleach: Sennen Kessen-hen,TV,Manga,13.0,Finished Airing,2022-10-11,2022-12-27,24,R - 17+ (violence & profanity),9.02,269851,9.0,416,525270,20197,fall,2022.0,"['Action', 'Adventure', 'Fantasy']",[],['Shounen']
12,Gintama.,TV,Manga,12.0,Finished Airing,2017-01-09,2017-03-27,24,PG-13 - Teens 13 or older,8.98,144699,14.0,757,311758,2721,winter,2017.0,"['Action', 'Comedy', 'Sci-Fi']","['Gag Humor', 'Historical', 'Parody', 'Samurai']",['Shounen']
13,Fruits Basket: The Final,TV,Manga,13.0,Finished Airing,2021-04-06,2021-06-29,23,PG-13 - Teens 13 or older,8.98,232076,13.0,476,469320,19847,spring,2021.0,"['Drama', 'Romance', 'Supernatural']",[],['Shoujo']
