,"Rank","Title","Type","Type_count","Date_start","Date_end","Members","Score"
0,1,"Sousou no Frieren","TV",28,01.09.23,"Mar 2024","557,553","9.14"
1,2,"Fullmetal Alchemist: Brotherhood","TV",64,01.04.09,01.07.10,"3,310,183","9.09"
2,3,"Steins;Gate","TV",24,01.04.11,01.09.11,"2,538,564","9.07"
3,4,"Gintama°","TV",51,01.04.15,"Mar 2016","624,001","9.06"
4,5,"Shingeki no Kyojin Season 3 Part 2","TV",10,01.04.19,01.07.19,"2,244,066","9.05"
5,6,"Gintama: The Final","Movie",1,01.01.21,01.01.21,"147,033","9.04"
6,7,"Hunter x Hunter (2011)","TV",148,"Oct 2011",01.09.14,"2,795,125","9.04"
7,8,"Gintama'","TV",51,01.04.11,"Mar 2012","550,477","9.03"
8,10,"Ginga Eiyuu Densetsu","OVA",110,01.01.88,"Mar 1997","318,705","9.02"
9,11,"Gintama': Enchousen","TV",13,"Oct 2012","Mar 2013","322,366","9.02"
10,9,"Bleach: Sennen Kessen-hen","TV",13,"Oct 2022","Dec 2022","524,081","9.02"
11,12,"Kaguya-sama wa Kokurasetai: Ultra Romantic","TV",13,01.04.22,01.06.22,"907,365","9.02"
12,14,"Gintama.","TV",12,01.01.17,"Mar 2017","311,528","8.98"
13,13,"Fruits Basket: The Final","TV",13,01.04.21,01.06.21,"468,577","8.98"
14,15,"Gintama","TV",201,01.04.06,"Mar 2010","1,057,120","8.94"
15,16,"Clannad: After Story","TV",24,"Oct 2008","Mar 2009","1,184,200","8.93"
16,17,"Koe no Katachi","Movie",1,01.09.16,01.09.16,"2,300,774","8.93"
17,19,"3-gatsu no Lion 2nd Season","TV",22,"Oct 2017","Mar 2018","398,434","8.92"
18,18,"Shingeki no Kyojin: The Final Season - Kanketsu-hen","TV Special",2,"Mar 2023",01.11.23,"615,490","8.92"
19,20,"Code Geass: Hangyaku no Lelouch R2","TV",25,01.04.08,01.09.08,"1,765,118","8.91"
20,21,"Gintama Movie 2: Kanketsu-hen - Yorozuya yo Eien Nare","Movie",1,01.07.13,01.07.13,"238,795","8.91"
21,23,"Monster","TV",74,01.04.04,01.09.05,"1,098,364","8.88"
22,22,"Gintama.: Shirogane no Tamashii-hen - Kouhan-sen","TV",14,01.07.18,"Oct 2018","196,319","8.88"
23,24,"Owarimonogatari 2nd Season","TV Special",7,01.08.17,01.08.17,"395,423","8.87"
24,25,"Violet Evergarden Movie","Movie",1,01.09.20,01.09.20,"597,649","8.87"
25,26,"Jujutsu Kaisen 2nd Season","TV",23,01.07.23,"Dec 2023","853,026","8.86"
26,27,"Kimi no Na wa.","Movie",1,01.08.16,01.08.16,"2,712,379","8.84"
27,28,"Kusuriya no Hitorigoto","TV",24,"Oct 2023","Mar 2024","296,398","8.83"
28,29,"Kingdom 3rd Season","TV",26,01.04.20,"Oct 2021","100,320","8.82"
29,31,"Boku no Kokoro no Yabai Yatsu Season 2","TV",13,01.01.24,"Mar 2024","124,108","8.81"
30,32,"Gintama.: Shirogane no Tamashii-hen","TV",12,01.01.18,"Mar 2018","210,560","8.81"
31,30,"Vinland Saga Season 2","TV",24,01.01.23,01.06.23,"577,728","8.81"
32,34,"The First Slam Dunk","Movie",1,"Dec 2022","Dec 2022","36,829","8.80"
33,33,"Bocchi the Rock!","TV",12,"Oct 2022","Dec 2022","540,053","8.80"
34,36,"Mob Psycho 100 II","TV",13,01.01.19,01.04.19,"1,509,788","8.79"
35,37,"Shingeki no Kyojin: The Final Season","TV",16,"Dec 2020","Mar 2021","1,968,777","8.79"
36,35,"Kaguya-sama wa Kokurasetai: First Kiss wa Owaranai","Movie",1,"Dec 2022","Dec 2022","249,161","8.79"
